year,pctile,beta1,beta2
2061,.1,-.2385093,.1257393
2061,.15,-.1427674,.1242718
2061,.2,-.0691803,.123272
2061,.25,-.0102622,.1251617
2061,.3,.0349284,.129692
2061,.35,.0902519,.1282174
2061,.4,.1432493,.1312222
2061,.45,.196605,.1320641
2061,.5,.2594021,.1250618
2061,.55,.3087943,.1250083
2061,.6,.370608,.1207427
2061,.65,.4262279,.1212452
2061,.7,.4830351,.1230026
2061,.75,.5419838,.1272196
2061,.8,.6342846,.1210607
2061,.85,.713344,.1237841
2061,.9,.8370379,.1181075
2061,.95,1.065676,.0985107
2062,.05,-.3430115,.1010655
2062,.1,-.2319804,.1264572
2062,.15,-.1339711,.1236926
2062,.2,-.0682728,.1279865
2062,.25,-.0003181,.1244076
2062,.3,.0494681,.1272275
